,id,text,created_at,horizon forbidden west,retweet_count,reply_count,like_count,quote_count,polarity
97,1601532174997409792,The new expansion story to Horizon Forbidden West  called Burning Shores  has been announced ,2022-12-10T11:00:00.000Z,1.0,0,0,0,0,0.13636363636363635
1481,1601384289144164352,Horizon Forbidden West was robbed at gunpoint at  They didn t get nothing ,2022-12-10T01:12:21.000Z,1.0,0,0,0,0,0.0
1987,1601362271695179776,Horizon Forbidden West didn t win anything,2022-12-09T23:44:52.000Z,1.0,0,0,0,0,0.8
2284,1601346027537149955,I am gonna say it anyone who voted Elden Ring for has no taste in variety  Horizon Forbidden West should have gotten some acknowledgement too like come on ,2022-12-09T22:40:19.000Z,1.0,0,0,0,0,0.0
2388,1601340180144586752,is no one going to talk about horizon forbidden west didn t take a single award like really pulled out all the stops for me HFW has the best art direction and music congrats to those who won,2022-12-09T22:17:05.000Z,1.0,0,0,0,0,0.3761904761904762
2667,1601328334260113409,Horizon Forbidden West  Burning Shores DLC Wont Be Available On PS4,2022-12-09T21:30:00.000Z,1.0,9,1,26,0,0.4
2979,1601315961373880320,In no particular order  my most anticipated games announced at the Star Wars  Jedi SurvivorDiablo Suicide Squad  Kill the Justice LeagueHorizon Forbidden West  Burning Shores DLCWarhammer   Space Marine,2022-12-09T20:40:50.000Z,1.0,0,0,0,0,0.20833333333333334
3045,1601313372435546113,Horizon Forbidden West  More like Horizon Zero awards at,2022-12-09T20:30:33.000Z,1.0,0,1,1,0,0.5
3051,1601313157384966145,Horizon Forbidden West  Burning Shores DLC Wont Be Available On PS4,2022-12-09T20:29:42.000Z,1.0,4,0,12,0,0.4
4227,1601278040923045889,Street Fighter VI  TEKKEN8  Horizon Forbidden West and Sony s new Multiplayer IP has got my attention  and Xbox  Dusty Wind Blows They had nothing other than showing a Gamepass vid So pathetic ,2022-12-09T18:10:09.000Z,1.0,0,0,0,0,-0.3471590909090909
4453,1601273791338131457,I m so glad that people are finally discovering  flute guy  thanks to last night s   Last year s event was the first time I learned about him  Here he is GOING HARD during a Horizon Forbidden West performance,2022-12-09T17:53:16.000Z,1.0,0,1,0,0,0.09404761904761903
4635,1601269768539230210,Horizon Forbidden West got hella robbed last night on some categories Its such a beautiful and well made game ,2022-12-09T17:37:17.000Z,1.0,0,0,1,0,0.11249999999999999
4831,1601264541199130625,Horizon Forbidden West was the highest quality game released this year from gameplay  to animations  sound design  graphics  facial capture  storyline     literally everything for it to get completely shut out is INSANE  They put sooooo much effort into it ,2022-12-09T17:16:31.000Z,1.0,1,1,7,0,-0.11666666666666665
4900,1601262485365231616,Horizon Forbidden West Burning Shores  And not even the Hollywood sign is spared     ,2022-12-09T17:08:21.000Z,1.0,0,0,0,0,0.0
5071,1601258715084361729,I wish Horizon Forbidden West won some awards but it was just against some tough competition especially with God of War racking up the majority,2022-12-09T16:53:22.000Z,1.0,0,0,0,0,-0.19444444444444445
5157,1601257268858982401,Well deserved has been named Game of the Year at The Game Awards  beating God Of War Ragnarok  Horizon Forbidden West  and more Also won best game direction  best RPG  and best art direction ,2022-12-09T16:47:37.000Z,1.0,0,0,3,0,0.32857142857142857
5408,1601251010307313664,Hogwarts Legacy in Feb  Jedi Survivor in March and Horizon Forbidden West expansion in April  Not forgetting Forspoken  the Cyberpunk DLC  Suicide Squad and AC Mirage dotted throughout the year 2023 is shaping up nicely ,2022-12-09T16:22:45.000Z,1.0,0,0,0,0,0.6
5535,1601248048344334338,Kinda bummed A Plague Tale  Requiem and Horizon Forbidden West didnt win any awards at this year  Tough competition ,2022-12-09T16:10:59.000Z,1.0,0,0,1,0,0.20555555555555557
5653,1601245073077043201,was great last night  I m stoked for Hades   Horizon Forbidden West DLC  Diablo   Nightingale  Death Stranding   and so much more  Gaming is going to be great next year ,2022-12-09T15:59:09.000Z,1.0,0,0,0,0,0.42000000000000004
6099,1601234192679178240,Horizon Forbidden West is MY Game of the Year,2022-12-09T15:15:55.000Z,1.0,0,0,1,0,-0.4
6163,1601232807438974976,Just to put this out there for the game awards for this whole year of Horizon Forbidden West shouldve rescheduled the release date for the game,2022-12-09T15:10:25.000Z,1.0,0,0,0,0,-0.20000000000000004
6220,1601231638850985984,After sleeping on it  I kind of think Horizon Forbidden West should have won art direction instead of Elden Ring  but that s probably just my personal bias because I really like robots ,2022-12-09T15:05:46.000Z,1.0,0,0,1,0,0.26666666666666666
6316,1601230095745974278,And all of it remained a wish  But here are my personal highlights for   Immortals of Aveum JUDAS Death Stranding Horizon Forbidden West  Burning Shores Star Wars  Jedi Survivor Cyberpunk   Phantom Liberty,2022-12-09T14:59:38.000Z,1.0,0,0,3,0,0.0
6682,1601223841967398914,was definitely one of the best in recent memory  One of the best things about the show is seeing all of the sequel announcements really makes me want to dive into my backlog  Death stranding  fallen order and horizon forbidden west are a must now ,2022-12-09T14:34:47.000Z,1.0,0,1,6,0,0.44000000000000006
7194,1601215096914444288,Horizon Forbidden West Burning Shores is confirmed   Join Aloy as they travel to Los Angeles  and face new threats  untamed wilds  and terrible rush hour traffic ,2022-12-09T14:00:02.000Z,1.0,1,0,5,1,-0.15454545454545454
7281,1601213501053497345,A Guerrilla Games revelou na TGA a primeira DLC de Horizon Forbidden West  intitulada Burning Shores ,2022-12-09T13:53:42.000Z,1.0,0,0,0,0,0.0
7848,1601201236401098752,Favourite Announcements Star Wars Jedi Survivor  Horizon Forbidden West Burning Shores  amp  Death Stranding  All Look Amazing Horizon Universe Continues To Expand ,2022-12-09T13:04:58.000Z,1.0,11,1,63,0,0.6000000000000001
7965,1601199051936268288,I gotta say  kinda feels sucky that Horizon Forbidden West didn t get anything at Up until my third  and favorite  playthrough of Elden Ring  it was my choice for GOTY   at least until Ragnarok overtook both gamesGenerally  Forbidden West didn t get much wrong,2022-12-09T12:56:17.000Z,1.0,0,3,2,0,-0.075
8146,1601195183487340544,Death Stranding Star Wars Jedi Survivor Suicide Squad  Kill the Justice LeagueHorizon Forbidden West  Burning ShoresEarthbladeBanishers  Ghosts of New EdenImmortals of AveumWayfinderAll games that Im looking forward to playing in the future ,2022-12-09T12:40:55.000Z,1.0,0,0,0,0,0.06818181818181818
8852,1601180231934828544,Bruh  I m pissed that GOW Ragnarok didn t win the game of the year  but I m more piseed that Horizon forbidden west didn t win any award  Dafuq      Bruh  that game is a masterpiece ,2022-12-09T11:41:30.000Z,1.0,0,1,0,0,0.26000000000000006
8889,1601179232259911680,Horizon Forbidden West is getting DLC in the form of Burning Shores  out th April   available on PS5 only ,2022-12-09T11:37:32.000Z,1.0,0,0,0,0,0.2
9171,1601172558925398016,The fact horizon forbidden west didnt win ANYTHING at is such a disgrace  times better than literally anything els mentioned,2022-12-09T11:11:01.000Z,1.0,0,0,1,0,0.43333333333333335
9353,1601168705085669377,Damn  it s ashame Horizon Forbidden West didn t win any awards  amp  amp  God of War  Ragnark didn t win Game of the year  Shockers   ,2022-12-09T10:55:42.000Z,1.0,0,0,0,0,0.4000000000000001
10295,1601149450553991168,A lot of great games were announced  but these games here are the ones I got most excited for  Death Stranding TEKKEN FINAL FANTASY XVIHorizon Forbidden West  Burning ShoresStar Wars JEDI  SurvivorCrash Team Rumble,2022-12-09T09:39:11.000Z,1.0,0,0,1,0,0.41875
10570,1601143602536927233,Oof  I feel bad for Horizon Forbidden West not receiving any awards at   Hope it doesn t end up in the same place as Days Gone and be forgotten ,2022-12-09T09:15:57.000Z,1.0,0,0,0,0,-0.3499999999999999
10588,1601143146217250816,Elden Ring foi eleito o GOTY de   superando nomes como GOW  Ragnarok  Horizon Forbidden West  Stray  A Plague Tale  Requiem e Xenoblade Chronicles  ,2022-12-09T09:14:08.000Z,1.0,0,0,0,0,0.0
10768,1601140013403545600,Horizon Forbidden West,2022-12-09T09:01:41.000Z,1.0,0,0,1,0,0.0
10857,1601138387813269507,PlayStation announcement predictions at the Reuters    Final Fantasy with release date Reuters  Horizon Forbidden West DLC announcement ndising Death Stranding  nd  Revealed Helldivers  ,2022-12-09T08:55:14.000Z,1.0,1,0,1,0,0.0
11235,1601131593485012997,We live in a world where valorant and genshin gets an award and horizon forbidden west doesnt,2022-12-09T08:28:14.000Z,1.0,0,0,0,0,0.13636363636363635
11304,1601130069640220672,Waking up to find out that Horizon Forbidden West s DLC was finally announced   Exclusively for the PS5 ,2022-12-09T08:22:10.000Z,1.0,0,0,1,0,0.0
11660,1601122088776912896,Most nominated games without a win at The Game Awards each year 2018  Marvels Spider Man  7 noms 2019  The Outer Worlds   Resident Evil  4 noms each 2020  Doom Eternal  5 noms 2021  Ratchet  amp  Clank  Rift Apart  6 noms 2022  Horizon Forbidden West  7 noms ,2022-12-09T07:50:28.000Z,1.0,0,0,0,0,-0.024999999999999994
11693,1601121292253818881,Horizon Forbidden West  Burning Shores   Announcement Trailer K via,2022-12-09T07:47:18.000Z,1.0,0,0,1,0,0.0
11826,1601118351186866176,Horizon Forbidden West Zero Dawn highlights at Game Awards  whooping wins for both games,2022-12-09T07:35:36.000Z,1.0,10,13,94,1,-0.05000000000000002
11990,1601115048080216064,Horizon Forbidden West  Burning Shores Announced  Launches in April Details ,2022-12-09T07:22:29.000Z,1.0,0,0,1,0,0.0
12374,1601108604471611392,ok finally got through all of Was really hoping for to win some for Horizon Forbidden West  Cause it was certainly my Game of the Year  Congrats to all the winners though ,2022-12-09T06:56:53.000Z,1.0,0,1,2,0,0.22000000000000003
12438,1601107543379841025,Am I seeing that right  Not one award for Horizon Forbidden West at   That s a real shame because it s an amazing game and the team deserves more recognition  Glad we ll be getting some DLC though ,2022-12-09T06:52:40.000Z,1.0,1,2,3,0,0.280952380952381
12505,1601106622343876609,I am absolutely shook that Horizon Forbidden West didn t get ANYTHING at Injustice ,2022-12-09T06:49:00.000Z,1.0,0,0,0,0,0.2
12667,1601104620285480960,Horizon Forbidden West will burn ,2022-12-09T06:41:03.000Z,1.0,1,0,0,0,0.0
12696,1601104238800773120,Congratulations to Elden Ring for winning Game of the YearSpecial mention to God of War Ragnarok  Genshin Impact  Stray  Horizon Forbidden West  Xenoblade Chronicles  and A Plague Tale  Requiem Visit our website ,2022-12-09T06:39:32.000Z,1.0,0,0,0,0,0.04999999999999999
12708,1601104113600987136,Horizon Forbidden West Burning Shores Announce Trailer,2022-12-09T06:39:02.000Z,1.0,0,0,0,0,0.0
12923,1601101933460455427,Guerrilla and Sony Interactive Entertainment announced Burning Shores  a new DLC for Horizon Forbidden West that is coming to PlayStation on April    ,2022-12-09T06:30:22.000Z,1.0,4,0,52,2,0.13636363636363635
12976,1601101308076883968,Congrats to Eldin Ring for winning Game of the YearSpecial mention to God of War Ragnarok  Genshin Impact  Stray  Horizon Forbidden West  Xenoblade Chronicles  and A Plague Tale  Requiem Our website ,2022-12-09T06:27:53.000Z,1.0,0,0,0,0,0.04999999999999999
13142,1601099061196886022,unexpected sequels death stranding and hades   the revival of armored core  horizon forbidden west dlc burning shores  and my most anticipated games diablo   legend of zelda sequel  and jedi survivor releasing within months  GOOD SHIT BRO  GOOD FCKING SHIT ,2022-12-09T06:18:57.000Z,1.0,2,0,4,0,0.26666666666666666
13171,1601098674695593985,I m probably most excited for  Judas from Ghost Story Ken LevineHorizon Forbidden West  Burning ShoresFinal Fantasy XVIArmored Core VI,2022-12-09T06:17:25.000Z,1.0,0,1,3,1,0.4375
13383,1601096738441695234,The funny part is Elden Ring beat Horizon Forbidden West around release date and time  and it was able to beat God of War Raganrok at the The Game Awards  This is a clean sweep win for anyone who is tired of Playstation lazy Story driven games,2022-12-09T06:09:44.000Z,1.0,0,0,1,0,0.12380952380952381
13457,1601095992719208448,I didn t watch all of   but here are my  must play  games  cue grabby hands 1  Diablo IV2  Horizon Forbidden West DLC3  Star Wars Jedi Survivor4  Final Fantasy XVI5  Judas6  Baldur s Gate And I ll be checking out that Forspoken Demo ,2022-12-09T06:06:46.000Z,1.0,0,1,1,0,0.0
13728,1601093133525139462,Horizon Forbidden West DLC coming    Burning Shores   4 19 23   Let s Go ,2022-12-09T05:55:24.000Z,1.0,0,0,0,0,0.0
13744,1601092970547408896,Horizon Forbidden West is my GOTY  ,2022-12-09T05:54:45.000Z,1.0,0,0,0,0,0.0
14648,1601084643155267584,not gonna lie  i legit feel bad for horizon forbidden west  it should have won  something ,2022-12-09T05:21:40.000Z,1.0,0,0,0,0,-0.6999999999999998
14898,1601082573274238976,Horizon Forbidden West DLC Official Reveal Game Awards Show Burning    via,2022-12-09T05:13:26.000Z,1.0,1,0,2,0,-0.4
14994,1601081962487197696,My favourite game of the year in including rates 1  Elden Ring  10 10 2  God of War Ragnarok  10 10 3  Horizon Forbidden west  9 10 ,2022-12-09T05:11:01.000Z,1.0,0,0,1,0,-0.4
15428,1601079332772155394,Horizon Forbidden West was robbed  How are you going to tell me they didn t win any awards  ,2022-12-09T05:00:34.000Z,1.0,0,0,1,0,0.8
15467,1601079193210683393,Horizon Forbidden West  Burning Shores DLC Revealed During The Game Awards,2022-12-09T05:00:00.000Z,1.0,2,0,8,0,-0.4
15517,1601078937832280065,Feel bad for Horizon Forbidden West and A Plague Tale  Requiem  Great games but God of war Ragnark and Elden Ring were juggernauts  Were they released last year  would have won much more ,2022-12-09T04:59:00.000Z,1.0,0,0,0,0,0.15000000000000005
15616,1601078379478142976,Horizon Forbidden West deserved some love ,2022-12-09T04:56:46.000Z,1.0,0,2,4,0,0.5
15636,1601078279590809600,and none for horizon forbidden west bye,2022-12-09T04:56:23.000Z,1.0,1,0,4,0,0.0
15703,1601078013768044544,has ended  amp  this is the best Game Awards show  like ever  Here are my favorite World Premiers  Final Fantasy XVI Tekken  Horizon Forbidden West DLC Star Wars Jedi  SurvivorFFXVI was the highlight  Ima watch that trailer countless times everyday ,2022-12-09T04:55:19.000Z,1.0,0,0,5,0,0.15000000000000002
15907,1601077164446973954,As much as I absolutely love God of War  I would liked to have seen Horizon Forbidden West and Cult of the Lamb win some of too  Maybe one day we ll be there with our fancy outfits rooting for Squadron nominations,2022-12-09T04:51:57.000Z,1.0,2,5,60,0,0.6333333333333334
15985,1601076869079916544,Top Favorite Game Announcements from     Death Stranding   Final Fantasy XVI   Armored Core VI4  Star Wars  Jedi Survivor5  Earthblade   Crime Boss7  Banishers  Ghost of New Eden8  Replaced9  Horizon Forbidden West  Burning Shores10  After Us,2022-12-09T04:50:46.000Z,1.0,0,1,0,0,0.14727272727272728
17477,1601072092174110722,Horizon Forbidden West would ve won GOTY easily in   But just like where BOTW beat it  Elden Ring beats it again  They ve just been unlucky  Elden Ring dropped a month after it and took all the air in the room ,2022-12-09T04:31:47.000Z,1.0,0,0,0,0,0.43333333333333335
17596,1601071833842741248, 10Horizon Forbidden West deserved at least a Nomination to Best Soundtrack at great show ,2022-12-09T04:30:46.000Z,1.0,0,0,2,0,0.5
18744,1601069549259931648,Most nominated games without a win at The Game Awards 7 noms Horizon Forbidden West 5 A Plague Tale  Requiem 3 Apex LegendsCall of Duty  Modern Warfare IIImmortalitySifuNeon WhiteTunicXenoblade Chronicles,2022-12-09T04:21:41.000Z,1.0,1,0,0,0,0.275
18855,1601069349447401472,Bill Clinton levou mais homenagens do que Horizon forbidden west no,2022-12-09T04:20:53.000Z,1.0,1,0,1,0,0.0
19153,1601068826619449345,Horizon Forbidden West got    nothing   ,2022-12-09T04:18:49.000Z,1.0,0,1,2,0,0.0
19227,1601068693068386304,My favorite announcement was the Horizon Forbidden West DLC,2022-12-09T04:18:17.000Z,1.0,0,1,16,0,0.5
20023,1601067554516205568,  Horizon Forbidden West DLC   Wolf Among Us   Zelda Twilight  amp  Windwaker on switch  let me dream alright    Zelda Tears Of The Kingdom   Ghost Of Tsushima   The Last Of Us multiplayer   More The Last Of Us,2022-12-09T04:13:46.000Z,1.0,0,0,5,0,0.16666666666666666
20219,1601067314849681408,Mi resumen de lo anunciado    Judas  Death Stranding   Jedi  Survivor  Destiny   Lightfall  Hades II  Diablo IV  Tekken   Horizon Forbidden West  Burning Shores  Lords of the Fallen  Cyberpunk Phantom Liberty  Final Fantasy XVI  Crash Team Rumble,2022-12-09T04:12:48.000Z,1.0,0,0,0,0,0.0
20342,1601067176886095872,HighlightsDeath Stranding Final Fantasy XVI   22 23Star Wars Jedi Survivor   17 23Suicide Squad  25 23Horizon Forbidden West  Burning Shores   19 2023Hades II  Early Access Tekken,2022-12-09T04:12:16.000Z,1.0,21,2,43,1,0.05
20829,1601066635426549760,Games that Im Extremely Hype For  Death Stranding Nightingale Horizon Forbidden West DLCbut most of allHADES HADES HADES SEQUEL,2022-12-09T04:10:06.000Z,1.0,3,0,8,0,0.1875
21235,1601066272028229632,Horizon Forbidden West got ROBBED this season ,2022-12-09T04:08:40.000Z,1.0,0,0,1,0,0.0
21868,1601065760356388865,JUSTICE FOR HORIZON FORBIDDEN WEST AND XENOBLADE CHRONICLES    ,2022-12-09T04:06:38.000Z,1.0,0,0,1,0,0.0
22181,1601065545281208320,The most unfair loser of this year  Horizon Forbidden West  After all that event has no relevance to the artistic and technical criteria  we ll see in the REAL awards    The DICE ,2022-12-09T04:05:47.000Z,1.0,0,1,1,0,0.10666666666666666
22298,1601065485339983872,Congrats to FormSoftware on winning game of the year with Elden Ring at Whether you played it or watched others play it  you have to agree it s super deserved  even in a year where Horizon Forbidden West and God of War Ragnorak dropped ,2022-12-09T04:05:32.000Z,1.0,0,0,0,0,0.14444444444444443
25112,1601064117787275265,Horizon Forbidden West was robbed,2022-12-09T04:00:06.000Z,1.0,0,0,2,0,0.0
25145,1601064107704213504,I feel very bad for Horizon Forbidden West  They didnt win any award  while this game was amazing  It is my personal Game Of The Year,2022-12-09T04:00:04.000Z,1.0,1,9,43,0,-0.05166666666666662
26228,1601063757408440321,Justice for Horizon Forbidden West and its predecessor  A series cursed with release dates lining up with some of the most anticipated games ever  but a winner in our hearts and one of the best of all time ,2022-12-09T03:58:40.000Z,1.0,0,0,0,0,0.75
27093,1601063358467551232,Figured Elden Ring would win but kinda wanted Stray because   you know   playing as a cat  Also would have liked to have seen Horizon Forbidden West win  but that s it ,2022-12-09T03:57:05.000Z,1.0,0,0,2,0,0.7333333333333334
28622,1601063007316246528,Damn man  seems like the only thing Horizon Forbidden West got from the this year were just tickets to the show  hate to see it ,2022-12-09T03:55:41.000Z,1.0,0,0,2,0,-0.4
29604,1601062824859426816,Horizon Forbidden WesT  Xenoblade Chronicles    Plague Tale  Stray  Elden Ring  GOW Ragnarok  And the GAME   OF THE YEAR GOES TO   ELDEN RING  With the upset victory  Asmongold must be elated  ,2022-12-09T03:54:58.000Z,1.0,0,0,0,0,-0.4
