,id,text,created_at,kirby and the forgotten land,retweet_count,reply_count,like_count,quote_count,polarity
894,1601438558111285248,Kirby and the Forgotten Land Wins Best Family Game,2022-12-10T04:48:00.000Z,1.0,0,0,0,0,0.3
1387,1601389718809194496,I still dont see how Kirby and the forgotten land is a family game     but congrats Kirby,2022-12-10T01:33:56.000Z,1.0,0,0,0,0,-0.4
1616,1601379426729709570,Kirby and the Forgotten Land inhales Best Family Game at  ,2022-12-10T00:53:02.000Z,1.0,0,0,0,0,0.3
2061,1601357683285954562,days until Kirby s Return to Dream Land Deluxe  to Kirby and The Forgotten Land on winning Best Family Game at   We are so proud of you Kirby ,2022-12-09T23:26:38.000Z,1.0,20,2,85,1,0.5
5726,1601243209770078211,So happy for Kirby and the Forgotten Land  Really deserved it ,2022-12-09T15:51:45.000Z,1.0,0,0,0,0,0.5
7596,1601206961571123201,I really cant deny how good of a Family Game that Kirby and the Forgotten Land was for us in  ,2022-12-09T13:27:43.000Z,1.0,1,0,12,0,0.16666666666666663
7896,1601200356251570177,congratulations to hal labs and kirby and the forgotten land for securing that that trophy at,2022-12-09T13:01:28.000Z,1.0,435,20,1332,1,0.0
8623,1601184893966360576,Nintendo Wins at Best Family   Kirby and the Forgotten Land Best Multiplayer   Splatoon Best Action   Bayonetta Best Sim Strategy   Mario   Rabbids Sparks of Hope Most Anticipated   Zelda  Tears of the Kingdom,2022-12-09T12:00:01.000Z,1.0,15,3,77,0,0.7000000000000001
8759,1601182222652178433,I just wanna say Im really happy that Kirby and the Forgotten Land won best family game  It is genuinely one of the best games Ive played this year ,2022-12-09T11:49:25.000Z,1.0,0,0,6,0,0.5599999999999999
8886,1601179367828295683,Splatoon Best MultiplayerKirby and the Forgotten Land Best FamilyBayonetta Best Action GameThe Legend of Zelda  Tears of the Kingdom Most Anticipated GameThank you    and to everyone for all the amazing support ,2022-12-09T11:38:04.000Z,1.0,0,0,0,0,0.7000000000000001
9304,1601169797919670273,Splatoon Best MultiplayerKirby and the Forgotten Land Best FamilyBayonetta Best Action GameThe Legend of Zelda  Tears of the Kingdom Most Anticipated GameThank you    and to everyone for all the amazing support ,2022-12-09T11:00:02.000Z,1.0,2,0,8,0,0.7000000000000001
9307,1601169797051473920,Splatoon Best MultiplayerKirby and the Forgotten Land Best FamilyBayonetta Best Action GameThe Legend of Zelda  Tears of the Kingdom Most Anticipated GameThank you    and to everyone for all the amazing support ,2022-12-09T11:00:02.000Z,1.0,238,21,2133,18,0.7000000000000001
9308,1601169796220985346,Splatoon Best MultiplayerKirby and the Forgotten Land Best FamilyBayonetta Best Action GameThe Legend of Zelda  Tears of the Kingdom Most Anticipated GameThank you    and to everyone for all the amazing support ,2022-12-09T11:00:02.000Z,1.0,466,36,4003,38,0.7000000000000001
9521,1601164731506515969,Kirby and the forgotten land winning an award is the only thing I truly cared about really,2022-12-09T10:39:54.000Z,1.0,0,0,0,0,0.2333333333333333
9844,1601158000026484737,As Dusk Fallsfor ImpactMoss  Book IIVR ARThe Legend of Zelda  Tears of the KingdomAnticipatedMultiversusFightingKirby and the Forgotten Land FamilyArcane League of LegendsAdaptationGenshin ImpactPlayer Voice2 ,2022-12-09T10:13:09.000Z,1.0,0,1,3,0,0.0
11561,1601124131713392640,Kirby and the Forgotten Lands and Stray are winners  I call that a win As for Fortnite  I hope Epic Games learns how to listen to the barely heard Lastly  I am sad The Cuphead Show didn t get the award  but it will always be a winner in my books ,2022-12-09T07:58:35.000Z,1.0,0,0,0,0,0.11250000000000002
13093,1601099543625740288,Im gonna congratulate for Splatoon   Bayonetta and Kirby and the Forgotten Land are the winners and sadly Xenobalde Chronicles and Pokmon Legend Arceus are lost to,2022-12-09T06:20:52.000Z,1.0,0,1,0,0,-0.5
15036,1601081645842722819,Good job to Kirby and the Forgotten Land for winning Best Family Game at   Really fun game  Really deserved ,2022-12-09T05:09:45.000Z,1.0,0,0,0,0,0.27142857142857146
15087,1601081263669932034,Nintendo actually ate pretty well this year at   Splatoon winning best multiplayer game against CoD is actually nuts  Kirby and the Forgotten Land got the praise it rightfully deserves  and Tears of the Kingdom has me more excited every day ,2022-12-09T05:08:14.000Z,1.0,0,0,2,0,0.278125
15873,1601077301214871552,Where Kirby and the forgotten land at  It was released in   Cowards ,2022-12-09T04:52:29.000Z,1.0,0,1,0,0,0.0
16320,1601075574247915520,Nintendo won some big awards tonight at and I m proud And I m happy Kirby and the Forgotten Land won ,2022-12-09T04:45:38.000Z,1.0,0,0,0,0,0.5333333333333333
16321,1601075569764216832,Mario   Rabbids Sparks of Hope  The Legend of Zelda  Tears of the Kingdom  Splatoon   Kirby and the Forgotten Land  and Bayonetta all won awards today  Not bad  Nintendo  Not bad at all Shame about Xenoblade Chronicles and Pokmon Legends  Arceus though ,2022-12-09T04:45:37.000Z,1.0,1,0,1,0,0.3499999999999999
16574,1601074724767150083,So anyways  CONGRATS TO KIRBY AND THE FORGOTTEN LAND FOR WINNING BEST FAMILY GAME ,2022-12-09T04:42:15.000Z,1.0,1,0,5,0,0.3666666666666667
18219,1601070570749460480,Ok So Kirby and The Forgotten Land got an award along with Splatoon and Mario   Rabbids Sparks of Hope  Stray Won awards I think and Elden Ring won Game of the Year  I m mostly happy that the nintendo games atleast got an award lmao,2022-12-09T04:25:45.000Z,1.0,0,0,1,0,0.375
18277,1601070462993567744,In all I m really happy with each game on the list especially Kirby and the forgotten land  Credit to all teams behind each game ,2022-12-09T04:25:19.000Z,1.0,0,0,0,0,-0.08
18762,1601069514376228865,I didn t get to see Sonic win unfortunately  but I got to see Kirby and the forgotten land win best family game award so I m good  KIRBY FOR THE WIN   ,2022-12-09T04:21:33.000Z,1.0,0,0,1,0,0.4571428571428572
21014,1601066473073840128,Anyways Kirby and the Forgotten Land should ve gotten GOTY ,2022-12-09T04:09:28.000Z,1.0,0,0,0,0,0.0
25705,1601063942859952128,As quedaron los ganadores en  GoW  Ragnarok  6 Elden Ring  4 Stray  2 FF XIV  2 Kirby and the Forgotten Land  1  Multiversus  1 Moss  Book II  1 Mario Rabbids Sparks of Hope  1 As Dusk Falls  1 GT  1 Splatoon  1 Bayonetta  1 Genshin Impact  1 ,2022-12-09T03:59:24.000Z,1.0,0,0,4,0,0.0
28708,1601062994363891712,Congrats to Kirby and the Forgotten Land  Splatoon   Bayonetta   Mario   Rabbids Sparks of Hope  and The Legend of Zelda  Tears of the Kingdom for all winning awards at  ,2022-12-09T03:55:38.000Z,1.0,8,1,65,0,0.5
28833,1601062973115891713,A BIG congratulations to Kirby and the Forgotten Land for winning Game of the Year  VERY deserved  great job to everyone at HAL Lab  see you next year,2022-12-09T03:55:33.000Z,1.0,126,8,831,1,0.18333333333333335
